Time [s],Channel 0,Channel 1,Channel 2,Channel 3
5.500919833,0,1,0,0
5.501510250,0,0,0,0
5.501519042,0,0,1,0
5.501523708,0,0,1,1
5.529720625,1,0,1,1
5.530415542,1,1,1,1
5.530421542,1,1,0,1
5.530428917,1,1,0,0
5.550919917,0,1,0,0
5.551616375,0,0,0,0
5.551627792,0,0,1,0
5.551637083,0,0,1,1
5.579720667,1,0,1,1
5.580321917,1,1,1,1
5.580330542,1,1,0,1
5.580342500,1,1,0,0
5.600919958,0,1,0,0
5.601522750,0,0,0,0
5.601536750,0,0,1,0
5.601550625,0,0,1,1
5.629720708,1,0,1,1
5.630428042,1,1,1,1
5.630439250,1,1,0,1
5.630455833,1,1,0,0
5.650920042,0,1,0,0
5.651529000,0,0,0,0
5.651545625,0,0,1,0
5.651564125,0,0,1,1
5.679720833,1,0,1,1
5.680369417,1,0,1,0
5.680434292,1,1,1,0
5.680448125,1,1,0,0
5.700920125,0,1,0,0
5.701535208,0,0,0,0
5.701554750,0,0,1,0
5.729720792,1,0,1,0
5.730340667,1,1,1,0
5.730357125,1,1,0,0
5.730384500,1,1,0,1
5.750920208,0,1,0,1
5.751564667,0,1,1,1
5.751589458,0,1,1,0
5.751641333,0,0,1,0
5.779720875,1,0,1,0
5.780366000,1,0,0,0
5.780397917,1,0,0,1
5.780446792,1,1,0,1
5.800920292,0,1,0,1
5.801473208,0,1,1,1
5.801547708,0,0,1,1
5.829721042,1,0,1,1
5.830353125,1,1,1,1
5.830374875,1,1,0,1
5.850921708,0,1,0,1
5.851616375,0,1,0,0
5.851653792,0,0,0,0
5.851681000,0,0,1,0
5.879721083,1,0,1,0
5.880359417,1,1,1,0
5.880383708,1,1,0,0
5.880424875,1,1,0,1
5.900920458,0,1,0,1
5.901489583,0,1,1,1
5.901560167,0,0,1,1
5.929722500,1,0,1,1
5.930393167,1,0,0,1
5.930436708,1,0,0,0
5.930465625,1,1,0,0
5.950920542,0,1,0,0
5.951566417,0,0,0,0
5.951598792,0,0,1,0
5.979721333,1,0,1,0
5.980301292,1,0,0,0
5.980371875,1,1,0,0
6.000920625,0,1,0,0
6.001607667,0,1,1,0
6.001658875,0,1,1,1
6.001672500,0,0,1,1
6.029721375,1,0,1,1
6.030378083,1,1,1,1
6.030410333,1,1,0,1
6.050920708,0,1,0,1
6.051479000,0,0,0,1
6.051516375,0,0,1,1
6.079721458,1,0,1,1
6.080384208,1,1,1,1
6.080419167,1,1,0,1
6.100920792,0,1,0,1
6.101484958,0,0,0,1
6.101525208,0,0,1,1
6.129721542,1,0,1,1
6.130327875,1,0,0,1
6.130390542,1,1,0,1
6.150921000,0,1,0,1
6.151591375,0,0,0,1
6.151634250,0,0,1,1
6.179721667,1,0,1,1
6.180396792,1,1,1,1
6.180436917,1,1,0,1
6.200920958,0,1,0,1
6.201497417,0,0,0,1
6.201543125,0,0,1,1
6.229721708,1,0,1,1
6.230302833,1,1,1,1
6.230345583,1,1,0,1
6.250921042,0,1,0,1
6.251551792,0,1,1,1
6.251603833,0,0,1,1
6.279721833,1,0,1,1
6.280309125,1,1,1,1
6.280354458,1,1,0,1
6.300921125,0,1,0,1
6.301610083,0,0,0,1
6.301660875,0,0,1,1
6.329722042,1,0,1,1
6.330415500,1,1,1,1
6.330463500,1,1,0,1
6.350921208,0,1,0,1
6.351569542,0,1,1,1
6.351616333,0,0,1,1
6.379722000,1,0,1,1
6.380372208,1,0,0,1
6.380421750,1,1,0,1
6.400921292,0,1,0,1
6.401522375,0,0,0,1
6.429722042,1,0,0,1
6.430382708,1,0,1,1
6.430427958,1,1,1,1
6.450921375,0,1,1,1
6.451528625,0,0,1,1
6.451585625,0,0,0,1
6.479722125,1,0,0,1
6.480334125,1,1,0,1
6.500921458,0,1,0,1
6.501595917,0,1,1,1
6.501635000,0,0,1,1
6.529722208,1,0,1,1
6.530340292,1,1,1,1
6.550921542,0,1,1,1
6.551603333,0,1,0,1
6.551641250,0,0,0,1
6.579722333,1,0,0,1
6.580409375,1,0,1,1
6.580446750,1,1,1,1
6.600921625,0,1,1,1
6.601612208,0,1,0,1
6.601647500,0,0,0,1
6.629722375,1,0,0,1
6.630418208,1,0,1,1
6.630452917,1,1,1,1
6.650921708,0,1,1,1
6.651621083,0,1,0,1
6.651653750,0,0,0,1
6.679722542,1,0,0,1
6.680427042,1,0,1,1
6.680459167,1,1,1,1
6.700921792,0,1,1,1
6.701561375,0,0,1,1
6.701629917,0,0,0,1
6.729722500,1,0,0,1
6.730365292,1,1,0,1
6.730435917,1,1,1,1
6.750921875,0,1,1,1
6.751566042,0,0,1,1
6.779722667,1,0,1,1
6.780443083,1,0,0,1
6.780471667,1,1,0,1
6.800921958,0,1,0,1
6.801572250,0,0,0,1
6.829722667,1,0,0,1
6.830377417,1,1,0,1
6.850922125,0,1,0,1
6.851578542,0,0,0,1
6.851658167,0,0,1,1
6.879722750,1,0,1,1
6.880383958,1,1,1,1
6.880460833,1,1,0,1
6.900922083,0,1,0,1
6.901584750,0,0,0,1
6.929726667,1,0,0,1
6.950922167,0,0,0,1
6.951592625,0,1,0,1
6.951605083,0,1,0,0
6.979722917,1,1,0,0
7.000922250,0,1,0,0
7.001597208,0,0,0,0
7.001627333,0,0,0,1
7.029723000,1,0,0,1
7.030402625,1,1,0,1
7.030432625,1,1,0,0
7.050922333,0,1,0,0
7.051603458,0,0,0,0
7.051640792,0,0,0,1
7.079723083,1,0,0,1
7.080346208,1,0,0,0
7.100922417,0,0,0,0
7.101611333,0,1,0,0
7.101654250,0,1,0,1
7.129723167,1,1,0,1
7.130360292,1,1,0,0
7.130413500,1,0,0,0
7.150922500,0,0,0,0
7.151617583,0,1,0,0
7.151668250,0,1,0,1
7.179723250,1,1,0,1
7.180373958,1,1,0,0
7.180419750,1,0,0,0
7.200922583,0,0,0,0
7.201481125,0,0,0,1
7.229723333,1,0,0,1
7.230386583,1,0,0,0
7.230427625,1,1,0,0
7.250922667,0,1,0,0
7.251594708,0,1,0,1
7.279723375,1,1,0,1
7.280400042,1,1,0,0
7.280432250,1,0,0,0
7.300922750,0,0,0,0
7.301508042,0,0,0,1
7.329723458,1,0,0,1
7.330313333,1,0,0,0
7.350924125,0,0,0,0
7.351621667,0,0,0,1
7.351642542,0,1,0,1
7.379723583,1,1,0,1
7.380326792,1,1,0,0
7.400922917,0,1,0,0
7.401534958,0,1,0,1
7.429723625,1,1,0,1
7.430440417,1,1,0,0
7.430450958,1,0,0,0
7.450922958,0,0,0,0
7.451548417,0,0,0,1
7.479723667,1,0,0,1
7.480353708,1,0,0,0
7.500927625,0,0,0,0
7.501562542,0,0,0,1
7.529723792,1,0,0,1
7.530367167,1,0,0,0
7.550923125,0,0,0,0
7.551575375,0,0,0,1
7.579723792,1,0,0,1
7.580380625,1,0,0,0
7.600923208,0,0,0,0
7.601588792,0,0,0,1
7.629723917,1,0,0,1
7.630394083,1,0,0,0
7.650924583,0,0,0,0
7.651602208,0,0,0,1
7.651679958,0,1,0,1
7.679724000,1,1,0,1
7.680410625,1,1,0,0
7.700923375,0,1,0,0
7.701615667,0,1,0,1
7.729724083,1,1,0,1
7.730421000,1,1,0,0
7.750923458,0,1,0,0
7.751629208,0,1,0,1
7.779724167,1,1,0,1
7.780434458,1,1,0,0
7.800923542,0,1,0,0
7.801542750,0,1,0,1
7.829724250,1,1,0,1
7.830447917,1,1,0,0
7.850923625,0,1,0,0
7.851556208,0,1,0,1
7.879724292,1,1,0,1
7.880362500,1,1,0,0
7.900923667,0,1,0,0
7.901669375,0,1,0,1
7.929724333,1,1,0,1
7.930375000,1,1,0,0
7.950923750,0,1,0,0
7.951583125,0,1,0,1
7.979724500,1,1,0,1
7.980388417,1,1,0,0
8.000923833,0,1,0,0
8.001596417,0,1,0,1
8.029724583,1,1,0,1
8.030401917,1,1,0,0
8.050923917,0,1,0,0
8.051610042,0,1,0,1
8.079724625,1,1,0,1
8.080315167,1,1,0,0
8.100924000,0,1,0,0
8.101523375,0,1,0,1
8.129724708,1,1,0,1
8.130328625,1,1,0,0
8.130379708,1,1,1,0
8.150924083,0,1,1,0
8.151587083,0,1,0,0
8.151637542,0,1,0,1
8.179724833,1,1,0,1
8.180393250,1,1,1,1
8.180442292,1,1,1,0
8.200924167,0,1,1,0
8.201495792,0,1,0,0
8.201550333,0,1,0,1
8.229724875,1,1,0,1
8.230401958,1,1,1,1
8.230455750,1,1,1,0
8.250924250,0,1,1,0
8.251563708,0,1,1,1
8.251604833,0,1,0,1
8.279724958,1,1,0,1
8.280310625,1,1,1,1
8.280369000,1,1,1,0
8.300924333,0,1,1,0
8.301577792,0,1,1,1
8.301613708,0,1,0,1
8.329725042,1,1,0,1
8.330319500,1,1,1,1
8.330382500,1,1,1,0
8.350924417,0,1,1,0
8.351522375,0,1,0,0
8.379725167,1,1,0,0
8.380397542,1,1,0,1
8.380428542,1,1,1,1
8.400924500,0,1,1,1
8.401602500,0,1,1,0
8.401631417,0,1,0,0
8.429725250,1,1,0,0
8.430338125,1,1,1,0
8.450924583,0,1,1,0
8.451540125,0,1,0,0
8.479725292,1,1,0,0
8.480424458,1,1,0,1
8.480446292,1,1,1,1
8.500924667,0,1,1,1
8.501550000,0,1,0,1
8.501629417,0,1,0,0
8.529725375,1,1,0,0
8.530354958,1,1,1,0
8.550924750,0,1,1,0
8.551557833,0,1,0,0
8.579725500,1,1,0,0
8.580363875,1,1,1,0
8.600924833,0,1,1,0
8.601566708,0,1,0,0
8.629725625,1,1,0,0
8.630372875,1,1,1,0
8.650924917,0,1,1,0
8.651575583,0,1,0,0
8.679725625,1,1,0,0
8.680381583,1,1,1,0
8.700924958,0,1,1,0
8.701584417,0,1,0,0
8.729725708,1,1,0,0
8.730390375,1,1,1,0
8.750925042,0,1,1,0
8.751493417,0,1,0,0
8.779725792,1,1,0,0
8.780399375,1,1,1,0
8.800926458,0,1,1,0
8.801602167,0,1,0,0
8.829725750,1,1,0,0
8.830408000,1,1,1,0
8.850925208,0,1,1,0
